datestart,ADBE,ADP,ADSK,AKAM,ALTR,ALXN,AMAT,AMGN,AMZN,APOL,ATVI,BBBY,BIDU,BIIB,BMC,BRCM,CA,CELG,CERN,CHKP,CHRW,CMCSA,COST,CSCO,CTRP,CTSH,CTXS,DELL,DLTR,DTV,EA,EBAY,ESRX,EXPE,FAST,FFIV,FISV,FLEX,FLIR,FSLR,GILD,GMCR,GRMN,HSIC,ILMN,INFY,INTU,ISRG,JOY,KLAC,LIFE,LINTA,LLTC,LRCX,MAT,MCHP,MRVL,MU,MXIM,MYL,NFLX,NIHD,NTAP,NVDA,NWSA,ORCL,PAYX,PCAR,PCLN,QCOM,ROST,SBUX,SHLD,SIAL,SIRI,SNDK,SPLS,SRCL,STX,SYMC,TEVA,URBN,VMED,VOD,VRSN,VRTX,WCRX,WFM,WYNN,XLNX,XRAY,YHOO
19-Nov-12,5075,33,370,56,1848,10,34,35,85534,2,1077,0,307,8,10,87,2,277,162,1,8,1845,3314,7976,2,103,323,20587,561,1556,176,34926,27,299,28,15,32,15,5,43,15,124,1642,9,435,213,428,19,13,0,53,23,3,7,1008,4,4,4,6,42,15042,13,189,746,502,2537,17,16,199,292,239,54583,21,0,42,1058,2366,11,2,342,1,1502,409,4781,20,4,1,1226,10,30,9,40537
12-Dec-12,5568,8,374,75,2023,6,6,124,83153,3,363,1,169,49,15,335,24,28,234,2,10,2392,3806,2906,1,84,556,25150,589,1878,216,28311,18,1005,32,10,47,74,7,58,246,73,1220,15,237,176,486,1,146,6,21,5,2,5,447,1,6,9,11,105,23315,13,228,1137,1129,3166,31,15,106,406,23,51383,27,2,19,743,5598,2,41,283,15,1633,367,3855,29,2,0,1331,13,18,7,45596
13-Dec-12,7394,16,823,93,1714,4,10,195,87207,17,353,1,149,5,12,130,6,28,216,0,4,2315,2758,2732,1,119,411,24247,563,1352,371,28359,20,272,22,11,27,122,10,92,25,64,1418,6,352,138,951,2,22,2,63,6,5,2,492,3,2,7,5,67,17784,15,179,1169,185,3206,17,30,77,278,12,64475,43,4,85,982,5402,6,17,257,26,1591,274,3909,16,2,4,1321,23,31,3,41701
14-Dec-12,5250,4,389,70,1791,3,1,186,80951,16,560,1,225,28,12,94,11,23,155,1,4,2159,2330,2278,4,104,330,22208,412,1296,174,26002,13,332,36,7,43,46,1,168,29,87,1277,11,252,204,536,3,12,1,31,21,3,0,439,6,2,6,6,56,12486,12,164,1497,144,2878,29,15,111,195,11,48735,24,0,20,771,4754,11,9,175,17,1215,236,4536,19,17,3,1068,35,13,3,40327
17-Dec-12,4756,12,670,568,1555,7,4,99,84871,10,734,1,169,6,9,76,1,8,222,1,5,1788,2558,5135,1,97,397,23624,527,1228,395,26593,13,372,13,2,121,56,6,93,50,50,2212,1,343,334,462,2,11,0,56,16,2,0,425,0,5,16,10,70,20028,6,221,1187,41,3208,27,21,32,336,5,46544,10,2,103,540,7099,15,5,234,44,1364,279,5157,32,0,26,1001,9,10,3,41182
18-Dec-12,4628,15,728,141,1777,14,13,1109,84682,24,299,2,221,16,8,53,5,82,178,1,2,1924,3754,3628,10,77,441,18195,748,1448,276,28821,42,404,19,9,46,25,2,43,16,105,2011,8,203,107,266,3,5,0,17,13,6,0,465,2,4,20,4,116,24346,3,228,4544,56,6720,48,17,73,192,6,52736,27,4,31,525,8957,1,5,293,16,1972,208,3312,27,7,3,1253,7,13,5,37499
19-Dec-12,4118,20,624,126,1712,4,9,595,77476,31,385,11,343,19,10,69,3,32,144,4,2,2158,6409,2707,10,73,406,17881,934,7740,374,26283,15,966,14,6,44,8,4,22,7,76,1760,15,165,108,193,22,2,1,17,21,3,1,474,3,3,21,9,81,28033,2,199,2145,45,4040,48,22,79,217,10,53291,17,17,193,585,8494,8,3,554,5,1747,199,3610,50,32,1,1294,3,24,12,37727
20-Dec-12,7635,8,571,94,2239,3,7,352,84660,9,317,4,311,113,5,30,0,17,128,3,2,1791,3568,2754,2,164,308,20390,590,1441,321,23610,248,355,12,6,85,36,23,31,22,50,1073,16,384,77,192,28,0,0,43,8,2,0,404,3,2,89,1,124,18839,1,197,1704,65,10206,48,26,81,227,12,51318,10,3,61,679,6309,11,4,518,8,1234,185,9838,36,11,1,989,1,22,1,36674
21-Dec-12,5914,7,286,66,2154,10,12,115,78427,3,335,3,197,22,2,29,1,31,327,3,1,1794,4790,2018,1,383,320,19009,797,1548,207,21801,258,1268,20,18,41,10,16,46,10,46,1385,67,408,79,199,10,3,4,36,25,0,0,2792,3,0,19,12,68,20335,1,174,1540,1655,4143,27,12,218,118,6,54263,8,14,32,471,6755,8,6,410,8,1669,156,3808,56,3,1,1224,8,18,8,32981
7-Jan-13,69162,11,424,108,1698,11,51,26,87925,7,418,0,478,17,4,444,4,109,938,2,3,2788,2375,3564,3,102,388,24380,397,3385,307,26062,54,732,20,27,46,34,2,198,102,36,3633,6,778,161,273,24,2,1,30,16,3,1,484,4,6,13,5,72,28737,1,197,25664,116,3261,19,16,291,1948,16,47065,43,2,45,1276,2192,7,31,461,3,1895,260,3048,26,2,5,1567,40,21,3,42519
